#SKILL
Name         reserved~
Type         Spell
Flags        0
Minpos       8
Dammsg       ~
Wearoff      ???~
Minlevel     101
End

#SKILL
Name         affect mind~
Type         Spell
Flags        0
Target       1
Minpos       8
Slot         7
Rounds       12
Guild        8
Code         spell_charm_person
Dammsg       ~
Wearoff      You feel more self-confident.~
Teachers     50 605~
Minlevel     28
End

#SKILL
Name         alertness~
Type         Spell
Flags        0
Target       3
Minpos       8
Slot         102
Rounds       15
Guild        8
Code         spell_smaug
Dammsg       ~
Wearoff      You are suddenly less alert.~
Hitvict      You suddenly feel alert.~
Hitroom      $N's eyes dart about the room in an alert manner.~
Teachers     50 605~
Affect       'l*15' 27 '1024' 0
Minlevel     26
End

#SKILL
Name         aqua breath~
Type         Spell
Flags        2097152
Target       2
Minpos       8
Slot         236
Rounds       12
Code         spell_smaug
Dammsg       ~
Wearoff      Your lungs revert to their original state.~
Hitchar      $N's lungs take on the ability to breathe water...~
Hitvict      Your lungs take on the ability to breathe water...~
Hitroom      $N's lungs take on the ability to breathe water...~
Teachers     50 605~
Affect       'l*23' 26 'aqua breath' 0
Alignment   100
Minlevel     101
End

#SKILL
Name         armor~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         1
Rounds       12
Guild        8
Code         spell_smaug
Dammsg       ~
Wearoff      Your armor returns to its mundane value.~
Hitchar      $N's armor begins to glow softly as it is enhanced by the Force.~
Hitvict      Your armor begins to glow softly as it is enhanced by the Force.~
Hitroom      $N's armor begins to glow softly as it is enhanced by the Force.~
Teachers     50~
Affect       'l*20' 17 '-20' 0
Alignment   1001
Minlevel     5
End

#SKILL
Name         beauty~
Type         Spell
Flags        0
Target       2
Minpos       8
Slot         226
Rounds       12
Guild        8
Code         spell_smaug
Dammsg       ~
Wearoff      You stop enhancing yourself.~
Hitchar      $N seems more jovial.~
Hitvict      Drawing the Force, you change yourself to be more likeable.~
Hitroom      $N suddenly seems like a much nicer person.~
Teachers     50 605~
Affect       'l*24' 25 '1+(l/17)' 0
Alignment   1001
Minlevel     6
End

#SKILL
Name         blindness~
Type         Spell
Flags        0
Target       1
Minpos       7
Slot         4
Rounds       12
Guild        8
Code         (null)
Dammsg       ~
Wearoff      You can see again.~
Teachers     605~
Alignment   -1001
Minlevel     10
End

