#SOCIAL
Name        accuse~
CharNoArg   &RAc&rcu&Rse&W &zwhom?~
OthersNoArg &z$n &Wis in an &Rac&rcu&Rsi&rng&z mood.~
CharFound   &zYou look &Rac&rcu&Rsi&rng&Rly&z at $M.~
OthersFound &z$n looks &Rac&rcu&Rsi&rng&Rly&z at $N.~
VictFound   &z$n looks &Rac&rcu&Rsi&rng&Rly&z at you.~
CharAuto    &zYou &Rac&rcu&Rse&z yourself.~
OthersAuto  &z$n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   &zYou gasp and say '&RA&rC&RK!&z' at your mistake.~
OthersNoArg &z$n &RA&rc&Rk&rs&z at $s big mistake.~
CharFound   &zYou &RA&rC&RK&z $M.~
OthersFound &z$n &RA&rC&RK&rS&z $N.~
VictFound   &z$n &RA&rC&RK&rS&z you.~
CharAuto    &zYou &RA&rC&RK&z yourself.~
OthersAuto  &z$n &RA&rC&RK&rS&z $mself.  Must be a bad day.~
End

#SOCIAL
Name        addict~
CharNoArg   &zYou stand and admit to all in the room, '&cHi, I'm $n, and I'm a mud addict.&z'~
OthersNoArg &z$n stands and says, '&cHi, I'm $n, and I'm a mud addict.&z'~
CharFound   &zYou tell $M that you are addicted to $S &Rl&ro&Rv&re&z.~
OthersFound &z$n tells $N that $e is addicted to $S &Rl&ro&Rv&re&z.~
VictFound   &z$n tells you that $e is addicted to your &Rl&ro&Rv&re&z.~
CharAuto    &zYou stand and admit to all in the room, '&cHi, I'm $n, and I'm a mud addict.&z'~
OthersAuto  &z$n stands and says, '&cHi, I'm $n, and I'm a mud addict.&z'~
End

#SOCIAL
Name        adore~
CharNoArg   You are looking for someone to &Pa&pd&Po&pr&Pe&z!~
OthersNoArg $n is looking for someone to &Pa&pd&Po&pr&Pe&z!~
CharFound   You look at $N with &Pa&pd&Po&pr&Pe&pi&Pn&pg&z eyes.~
OthersFound $n looks at $N with &Pa&pd&Po&pr&Pe&pi&Pn&pg&z eyes.~
VictFound   $n looks at you with &Pa&pd&Po&pr&Pe&pi&Pn&pg&z eyes.~
CharAuto    Aww! You &Pa&pd&Po&pr&Pe&z yourself!~
OthersAuto  $n &Pa&pd&Po&pr&Pe&ps&z $mself soooo much!~
End

#SOCIAL
Name        apologize~
CharNoArg   &zYou &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&z for your &Cb&ce&Ch&ca&Cv&ci&Co&cr&z.~
OthersNoArg &z$n &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&Bs&z for $s rude &Cb&ce&Ch&ca&Cv&ci&Co&cr&z.~
CharFound   &zYou &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&z to $M.~
OthersFound &z$n &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&Bs&z to $N.~
VictFound   &z$n &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&Bs&z to you.~
CharAuto    &zYou &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&z to yourself.~
OthersAuto  &z$n &ba&Bp&bo&Bl&bo&Bg&bi&Bz&be&Bs&z to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   &CC&clap&W, &Cc&clap&z, &Cc&clap&z.~
OthersNoArg &z$n gives a round of &Ca&cpplause&z.~
